frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
170,  truck,0.561,350.500,382.000,299,357,103,50,1280,720
171,  truck,0.511,350.000,382.500,298,357,104,51,1280,720
172,  truck,0.505,351.500,382.000,299,357,105,50,1280,720
175,  truck,0.580,353.500,382.500,301,357,105,51,1280,720
176,  truck,0.550,353.500,383.000,301,357,105,52,1280,720
177,  truck,0.728,354.500,382.500,301,357,107,51,1280,720
178,  truck,0.782,357.000,382.500,302,357,110,51,1280,720
179,  truck,0.749,358.000,382.500,302,357,112,51,1280,720
180,  truck,0.594,357.500,383.000,302,357,111,52,1280,720
181,  truck,0.653,359.500,383.000,302,357,115,52,1280,720
182,  truck,0.569,359.000,382.500,302,357,114,51,1280,720
183,  truck,0.525,359.000,382.500,303,357,112,51,1280,720
184,  truck,0.556,357.500,382.500,303,357,109,51,1280,720
185,  truck,0.503,358.500,383.500,303,358,111,51,1280,720
193,  truck,0.682,364.500,384.500,305,358,119,53,1280,720
195,  truck,0.612,366.000,384.500,306,358,120,53,1280,720
196,  truck,0.525,364.500,383.500,305,357,119,53,1280,720
204,  truck,0.502,360.500,382.000,304,355,113,54,1280,720
216,  truck,0.602,374.000,384.000,303,355,142,58,1280,720
217,  truck,0.524,374.000,384.500,304,355,140,59,1280,720
221,  truck,0.563,373.500,392.000,305,362,137,60,1280,720
222,  truck,0.614,373.000,393.500,305,364,136,59,1280,720
223,  truck,0.749,373.000,401.000,304,372,138,58,1280,720
224,  truck,0.749,373.000,401.000,304,372,138,58,1280,720
225,  truck,0.736,372.500,404.000,304,374,137,60,1280,720
226,  truck,0.801,371.500,409.000,303,380,137,58,1280,720
227,  truck,0.793,369.000,413.500,302,384,134,59,1280,720
228,  truck,0.808,369.000,415.500,301,386,136,59,1280,720
229,  truck,0.822,370.500,414.000,303,385,135,58,1280,720
230,  truck,0.800,371.000,408.500,303,379,136,59,1280,720
231,  truck,0.682,370.000,399.500,304,371,132,57,1280,720
232,  truck,0.778,370.500,397.500,305,368,131,59,1280,720
