frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
156,  pedestrian,0.515,1031.000,303.000,1020,287,22,32,1280,720
157,  bicycle,0.722,416.000,478.500,326,393,180,171,1280,720
158,  bicycle,0.839,492.500,474.000,372,382,241,184,1280,720
159,  bicycle,0.788,543.000,481.000,427,393,232,176,1280,720
160,  bicycle,0.700,600.000,440.000,486,307,228,266,1280,720
161,  bicycle,0.809,669.000,494.500,547,415,244,159,1280,720
162,  bicycle,0.819,713.000,496.000,598,418,230,156,1280,720
163,  bicycle,0.670,764.000,500.000,654,428,220,144,1280,720
164,  bicycle,0.857,821.000,448.500,702,325,238,247,1280,720
165,  bicycle,0.736,869.500,447.500,752,326,235,243,1280,720
166,  bicycle,0.715,914.500,469.000,803,370,223,198,1280,720
167,  bicycle,0.670,965.000,476.000,855,390,220,172,1280,720
168,  bicycle,0.685,1013.500,488.500,909,421,209,135,1280,720
169,  bicycle,0.622,1054.000,477.500,960,401,188,153,1280,720
170,  bicycle,0.691,1096.000,458.500,1006,368,180,181,1280,720
171,  bicycle,0.757,1130.500,459.000,1052,371,157,176,1280,720
172,  bicycle,0.718,1157.000,459.500,1084,379,146,161,1280,720
173,  bicycle,0.545,1179.500,445.000,1109,358,141,174,1280,720
178,  pedestrian,0.652,1248.000,417.500,1218,336,60,163,1280,720
179,  pedestrian,0.506,1262.000,406.000,1244,321,36,170,1280,720
289,  bicycle,0.591,57.000,473.000,2,387,110,172,1280,720
290,  bicycle,0.550,58.000,475.500,2,389,112,173,1280,720
291,  bicycle,0.518,61.500,475.500,0,389,123,173,1280,720
292,  bicycle,0.574,79.000,481.000,11,389,136,184,1280,720
293,  bicycle,0.567,77.000,478.000,6,382,142,192,1280,720
293,  bicycle,0.520,139.500,447.500,10,318,259,259,1280,720
294,  bicycle,0.749,83.000,482.000,8,392,150,180,1280,720
295,  bicycle,0.655,98.000,452.500,11,324,174,257,1280,720
296,  bicycle,0.657,102.000,487.000,10,395,184,184,1280,720
297,  bicycle,0.613,112.000,487.500,21,395,182,185,1280,720
298,  bicycle,0.791,119.000,491.000,16,393,206,196,1280,720
299,  bicycle,0.917,133.500,496.000,22,399,223,194,1280,720
300,  bicycle,0.895,155.000,492.000,52,389,206,206,1280,720
301,  bicycle,0.851,177.000,497.000,74,394,206,206,1280,720
302,  bicycle,0.933,200.000,501.000,97,397,206,208,1280,720
303,  bicycle,0.945,214.000,505.000,101,403,226,204,1280,720
304,  bicycle,0.894,236.500,502.000,122,394,229,216,1280,720
