frame-number,detected-left,detected-right,left-status,right-status
393,1,1,safe,safe
394,1,1,safe,safe
395,1,1,safe,safe
396,1,1,safe,safe
397,1,1,safe,safe
398,1,1,safe,safe
399,1,1,safe,safe
400,1,1,safe,safe
401,1,1,safe,safe
402,1,1,safe,safe
403,1,1,safe,safe
404,1,1,safe,safe
405,1,1,safe,safe
406,1,1,safe,safe
407,1,1,safe,safe
408,1,1,safe,safe
409,1,1,safe,safe
410,1,1,safe,safe
411,1,1,safe,safe
412,1,1,safe,safe
413,1,0,safe,safe
414,1,1,safe,safe
415,1,1,safe,safe
416,1,0,safe,safe
417,1,0,safe,safe
418,1,0,safe,safe
419,1,0,safe,safe
420,1,0,safe,safe
421,1,0,safe,safe
422,1,0,safe,safe
423,1,0,safe,safe
424,1,0,safe,safe
425,1,0,safe,safe
426,1,0,safe,safe
427,1,0,safe,safe
428,1,0,safe,safe
429,1,0,safe,safe
430,1,0,safe,safe
431,1,0,safe,safe
432,1,0,safe,safe
433,0,0,safe,safe
434,1,0,safe,safe
435,1,0,safe,safe
436,1,0,safe,safe
437,0,0,safe,safe
438,0,0,safe,safe
439,1,0,safe,safe
440,1,0,safe,safe
441,0,0,safe,safe
442,1,0,safe,safe
443,0,0,safe,safe
444,1,0,safe,safe
445,0,0,safe,safe
446,0,0,safe,safe
447,0,0,safe,safe
448,0,0,safe,safe
449,0,0,safe,safe
450,0,0,safe,safe
451,0,0,safe,safe
452,0,0,safe,safe
453,1,0,safe,safe
454,0,0,safe,safe
455,0,0,safe,safe
456,0,0,safe,safe
457,0,0,safe,safe
458,0,0,safe,safe
459,0,0,safe,safe
460,0,0,safe,safe
461,0,0,safe,safe
462,0,0,safe,safe
463,0,0,safe,safe
464,0,0,safe,safe
465,0,0,safe,safe
466,0,0,safe,safe
467,0,0,safe,safe
468,0,0,safe,safe
469,0,0,safe,safe
470,0,0,safe,safe
471,0,0,safe,safe
472,0,0,safe,safe
473,0,0,safe,safe
474,0,0,safe,safe
475,0,0,safe,safe
476,0,0,safe,safe
477,0,0,safe,safe
478,0,0,safe,safe
479,0,0,safe,safe
480,0,0,safe,safe
481,0,0,safe,safe
482,0,0,safe,safe
483,0,0,safe,safe
484,0,0,safe,safe
485,0,0,safe,safe
486,0,0,safe,safe
487,0,0,safe,safe
488,0,0,safe,safe
489,0,0,safe,safe
490,0,0,safe,safe
491,0,0,safe,safe
492,0,0,safe,safe
493,0,0,safe,safe
494,0,0,safe,safe
495,0,0,safe,safe
496,0,0,safe,safe
497,0,0,safe,safe
498,0,0,safe,safe
499,0,0,safe,safe
500,0,0,safe,safe
501,0,0,safe,safe
502,0,0,safe,safe
503,0,0,safe,safe
504,0,0,safe,safe
505,0,0,safe,safe
506,0,0,safe,safe
507,0,0,safe,safe
508,0,0,safe,safe
509,0,0,safe,safe
510,0,0,safe,safe
511,0,0,safe,safe
512,0,0,safe,safe
513,0,0,safe,safe
514,0,0,safe,safe
515,0,0,safe,safe
516,0,0,safe,safe
517,0,0,safe,safe
518,0,0,safe,safe
519,0,0,safe,safe
520,0,0,safe,safe
521,0,0,safe,safe
522,0,0,safe,safe
523,0,0,safe,safe
524,0,0,safe,safe
525,0,0,safe,safe
526,0,0,safe,safe
527,0,0,safe,safe
528,0,0,safe,safe
529,0,0,safe,safe
530,0,0,safe,safe
531,0,0,safe,safe
532,0,0,safe,safe
533,0,0,safe,safe
534,0,0,safe,safe
535,0,0,safe,safe
536,0,0,safe,safe
537,0,0,safe,safe
538,0,0,safe,safe
539,0,0,safe,safe
540,0,0,safe,safe
541,0,0,safe,safe
542,0,0,safe,safe
543,0,0,safe,safe
544,0,0,safe,safe
545,0,0,safe,safe
546,0,0,safe,safe
547,0,0,safe,safe
548,0,0,safe,safe
549,0,0,safe,safe
550,0,0,safe,safe
551,0,0,safe,safe
552,0,0,safe,safe
553,0,0,safe,safe
554,0,0,safe,safe
555,0,0,safe,safe
556,0,0,safe,safe
557,0,0,safe,safe
558,0,0,safe,safe
559,0,0,safe,safe
560,0,0,safe,safe
561,0,0,safe,safe
562,0,0,safe,safe
563,0,0,safe,safe
564,0,0,safe,safe
565,0,0,safe,safe
566,0,0,safe,safe
567,0,0,safe,safe
568,0,0,safe,safe
569,0,0,safe,safe
570,0,0,safe,safe
571,0,0,safe,safe
572,0,0,safe,safe
573,0,0,safe,safe
574,0,0,safe,safe
575,0,0,safe,safe
576,0,0,safe,safe
577,0,0,safe,safe
578,0,0,safe,safe
579,0,0,safe,safe
580,0,0,safe,safe
581,0,0,safe,safe
582,0,0,safe,safe
583,0,0,safe,safe
584,0,0,safe,safe
585,0,0,safe,safe
586,0,0,safe,safe
587,0,0,safe,safe
588,0,0,safe,safe
589,0,0,safe,safe
590,0,0,safe,safe
591,0,0,safe,safe
592,0,0,safe,safe
593,0,0,safe,safe
594,0,0,safe,safe
595,0,0,safe,safe
596,0,0,safe,safe
597,0,0,safe,safe
598,0,0,safe,safe
599,0,0,safe,safe
600,0,0,safe,safe
601,0,0,safe,safe
602,0,0,safe,safe
603,0,0,safe,safe
604,0,0,safe,safe
605,0,0,safe,safe
606,0,0,safe,safe
607,0,0,safe,safe
608,0,0,safe,safe
609,0,0,safe,safe
610,0,0,safe,safe
611,0,0,safe,safe
612,0,0,safe,safe
613,0,0,safe,safe
614,1,0,alert,safe
615,0,0,safe,safe
616,0,0,safe,safe
617,0,0,safe,safe
